gmid_key,date,year,month,product_family,gmid,loc,country,market,geography,market_segmentation,pf_segmentation,gmid_segmentation,seg_combo,forecast_lag_3,log_sales,log_segment,seg_combo_lag,model_segment,gb_forecast,ada_forecast,bag_forecast,rf_forecast,final_forecast,final_best_model,absolute_error,mape,sales
100028_202507_JP,2025-07-01,2025,7,1,100028,JP001,JP,Japan,Key Markets,Top MCO,Secure,Platinum,Secure_Top MCO,118.0,5.1647859739235145,Mid High,Secure_Top MCO,Secure_Top MCO_Mid High,175.38456197943793,174.02,174.22006381231148,174.0,174.0,rf_forecast,0.0,,0.0
100029_202507_JP,2025-07-01,2025,7,1,100029,JP001,JP,Japan,Key Markets,Top MCO,Secure,Platinum,Secure_Top MCO,427.0,6.1070228877422545,High,Secure_Top MCO,Secure_Top MCO_High,449.6153994356393,447.44,448.3326698098066,447.93888888888887,447.93888888888887,rf_forecast,0.0,,0.0
100030_202507_JP,2025-07-01,2025,7,1,100030,JP001,JP,Japan,Key Markets,Top MCO,Secure,Platinum,Secure_Top MCO,318.0,6.0844994130751715,High,Secure_Top MCO,Secure_Top MCO_High,438.176615692761,438.375,438.1794392759725,438.01323361823364,438.01323361823364,rf_forecast,0.0,,0.0
100032_202507_CA,2025-07-01,2025,7,1,100032,CA001,CA,Canada,North America,Top MCO,Secure,Platinum,Secure_Top MCO,35.0,4.23410650459726,Mid High,Secure_Top MCO,Secure_Top MCO_Mid High,68.11069444425294,68.13793103448276,67.9920137689529,68.0,68.0,rf_forecast,0.0,,0.0
100033_202507_CA,2025-07-01,2025,7,1,100033,CA001,CA,Canada,North America,Top MCO,Secure,Platinum,Secure_Top MCO,219.0,5.54907608489522,High,Secure_Top MCO,Secure_Top MCO_High,256.3214251848472,255.75862068965517,256.95339158848407,256.00555555555553,256.00555555555553,rf_forecast,0.0,,0.0
100034_202507_CA,2025-07-01,2025,7,1,100034,CA001,CA,Canada,North America,Top MCO,Secure,Platinum,Secure_Top MCO,219.0,4.919980925828125,Mid High,Secure_Top MCO,Secure_Top MCO_Mid High,135.13277128652194,135.87755102040816,136.00524867087296,136.0,136.0,rf_forecast,0.0,,0.0
100042_202507_HK,2025-07-01,2025,7,1,100042,HK001,HK,Hong Kong,Greater China,Regular MCO,Secure,Gold,Secure_Regular MCO,0.0,5.209486152841421,High,Secure_Regular MCO,Secure_Regular MCO_High,181.65174777796128,181.48936170212767,181.35818958649403,182.0,182.0,rf_forecast,0.0,,0.0
100037_202507_AU,2025-07-01,2025,7,1,100037,AU001,AU,Australia,International,Regular MCO,Secure,Auto Piloted,Secure_Regular MCO,15.0,4.672828834461906,Mid High,Secure_Regular MCO,Secure_Regular MCO_Mid High,105.4469683287971,105.0,106.15972458852802,106.0,106.0,rf_forecast,0.0,,0.0
100043_202507_AU,2025-07-01,2025,7,1,100043,AU001,AU,Australia,International,Regular MCO,Secure,Auto Piloted,Secure_Regular MCO,0.0,4.727387818712341,Mid High,Secure_Regular MCO,Secure_Regular MCO_Mid High,112.42277402267113,112.21621621621621,111.64928778875415,112.0,112.0,rf_forecast,0.0,,0.0
100038_202507_AU,2025-07-01,2025,7,1,100038,AU001,AU,Australia,International,Regular MCO,Secure,Auto Piloted,Secure_Regular MCO,14.0,4.919980925828125,Mid High,Secure_Regular MCO,Secure_Regular MCO_Mid High,135.1468037832782,135.87755102040816,136.00524867087296,136.0,136.0,rf_forecast,0.0,,0.0
100038_202507_NZ,2025-07-01,2025,7,1,100038,NZ001,NZ,New Zealand,International,Regular MCO,Secure,Auto Piloted,Secure_Regular MCO,124.0,3.4965075614664802,Mid,Secure_Regular MCO,Secure_Regular MCO_Mid,32.46902274738881,32.1203007518797,32.129549994760794,32.0,32.0,rf_forecast,0.0,,0.0
100044_202507_AU,2025-07-01,2025,7,1,100044,AU001,AU,Australia,International,Regular MCO,Secure,Auto Piloted,Secure_Regular MCO,215.0,5.313205979041787,High,Secure_Regular MCO,Secure_Regular MCO_High,202.1621880552939,200.48333333333332,201.00662415686583,202.00715399610135,202.00715399610135,rf_forecast,0.0,,0.0
