month,year,PRODUCT_FAMILY,GMID,LOC,Country,Sales,Forecast,MAPE,MAPE_Impact,MAPE_Contribution,Absolute Error,Non Absolute Error
5,25,8,800034,PT001,PT,"1,075",1129.942322,5.10%,0.00%,0.00%,54.94232201,54.94232201
5,25,8,800035,ES001,ES,"1,074",1054.482419,1.80%,0.00%,0.00%,19.51758121,-19.51758121
5,25,8,800036,RO001,RO,843,740,12.20%,0.01%,0.00%,103,-103
5,25,8,800037,DE001,DE,61,70.09049115,14.90%,0.00%,0.00%,9.090491147,9.090491147
5,25,8,800038,DE001,DE,47,77.90882629,65.80%,0.00%,0.00%,30.90882629,30.90882629
5,25,8,800039,AT001,AT,51,53.7895538,5.50%,0.00%,0.00%,2.789553804,2.789553804
5,25,8,800040,GB001,GB,821,818.8748794,0.30%,0.00%,0.00%,2.1251206,-2.1251206
5,25,8,800041,SA001,SA,"1,140",1140,0.00%,0.00%,0.00%,0,0
5,25,8,800042,IL001,IL,598,927,55.00%,0.02%,0.10%,329,329
5,25,8,800043,AE002,AE,33,0,100.00%,0.00%,0.00%,33,-33
5,25,8,800043,IE001,IE,60,33.2829566,44.50%,0.00%,0.00%,26.7170434,-26.7170434
5,25,8,800043,LBN01,LB,600,600,0.00%,0.00%,0.00%,0,0
5,25,8,800043,OM001,OM,0,169,,0.01%,0.10%,169,169
5,25,8,800043,TN001,TN,216,0,100.00%,0.01%,0.10%,216,-216
5,25,8,800044,EG001,EG,0,6040,,0.40%,2.30%,6040,6040
5,25,8,800045,MA001,MA,50,54,8.00%,0.00%,0.00%,4,4
5,25,8,800045,TN001,TN,0,216,,0.01%,0.10%,216,216
5,25,8,800046,CAR01,CA,0,39,,0.00%,0.00%,39,39
5,25,8,800046,US001,US,"11,404",11776.79855,3.30%,0.02%,0.10%,372.7985519,372.7985519
5,25,8,800047,BE001,BE,400,350.6723234,12.30%,0.00%,0.00%,49.32767661,-49.32767661
5,25,8,800047,NL001,NL,759,666.8501555,12.10%,0.01%,0.00%,92.14984453,-92.14984453
5,25,8,800063,TW001,TW,208,336.3333333,61.70%,0.01%,0.00%,128.3333333,128.3333333
5,25,8,800048,HK001,HK,70,85.72239695,22.50%,0.00%,0.00%,15.72239695,15.72239695
5,25,8,800064,AU001,AU,85,77,9.40%,0.00%,0.00%,8,-8
5,25,8,800064,NZ001,NZ,32,32,0.00%,0.00%,0.00%,0,0
5,25,8,800050,CL001,CL,684,1000,46.20%,0.02%,0.10%,316,316
5,25,8,800051,SG002,SG,12,12,0.00%,0.00%,0.00%,0,0
5,25,8,800052,TH001,TH,312,330,5.80%,0.00%,0.00%,18,18
5,25,8,800053,MY001,MY,24,121,404.20%,0.01%,0.00%,97,97
5,25,8,800054,IN001,IN,340,1246,266.50%,0.06%,0.30%,906,906
5,25,8,800055,JP001,JP,538,493.9,8.20%,0.00%,0.00%,44.1,-44.1
5,25,8,800056,CA001,CA,660,574,13.00%,0.01%,0.00%,86,-86
5,25,8,800066,KR001,KR,251,254,1.20%,0.00%,0.00%,3,3
5,25,8,800057,MX001,MX,"1,238",1007,18.70%,0.02%,0.10%,231,-231
5,25,8,800067,CO001,CO,"3,002",1713,42.90%,0.08%,0.50%,1289,-1289
5,25,8,800068,GT001,GT,476,32,93.30%,0.03%,0.20%,444,-444
5,25,8,800069,PE001,PE,0,326,,0.02%,0.10%,326,326
5,25,8,800071,AR001,AR,"1,754",2210,26.00%,0.03%,0.20%,456,456
5,25,8,800071,PY001,PY,0,1323,,0.09%,0.50%,1323,1323
5,25,8,800072,MA001,MA,2,0,100.00%,0.00%,0.00%,2,-2
5,25,15,150001,PR001,PR,461,458,0.70%,0.00%,0.00%,3,-3
5,25,15,150001,US001,US,"110,613",124212,12.30%,0.89%,5.20%,13599,13599
5,25,15,150002,AT001,AT,"1,889",1554.050667,17.70%,0.02%,0.10%,334.9493329,-334.9493329
5,25,15,150002,DE001,DE,"1,792",2004.164122,11.80%,0.01%,0.10%,212.1641221,212.1641221
5,25,15,150002,PT001,PT,0,2.312413973,,0.00%,0.00%,2.312413973,2.312413973
5,25,15,150003,DE001,DE,"4,870",5330.873733,9.50%,0.03%,0.20%,460.8737326,460.8737326
5,25,15,150007,CA001,CA,"12,551",10965,12.60%,0.10%,0.60%,1586,-1586
5,25,15,150008,DK001,DK,631,492.3863626,22.00%,0.01%,0.10%,138.6136374,-138.6136374
