year,month,PRODUCT_FAMILY,GMID,LOC,Country
2025,7,14,140024,CH001,CH
2025,7,14,140028,CA001,CA
2025,7,14,140029,CA001,CA
2025,7,14,140031,IL001,IL
2025,7,14,140032,FR001,FR
2025,7,14,140033,FR001,FR
2025,7,14,140033,FR003,FR
2025,7,14,140034,FR001,FR
2025,7,14,140034,FR003,FR
2025,7,14,140035,FR001,FR
2025,7,14,140036,DK001,DK
2025,7,14,140038,HK001,HK
2025,7,14,140039,PR001,PR
2025,7,14,140039,US001,US
2025,7,14,140040,PR001,PR
2025,7,14,140040,US001,US
2025,7,14,140041,IT001,IT
2025,7,14,140042,IT001,IT
2025,7,14,140044,CZ001,CZ
2025,7,14,140045,CZ001,CZ
2025,7,14,140046,IT001,IT
2025,7,14,140047,IT001,IT
2025,7,14,140049,AT001,AT
2025,7,14,140049,DE001,DE
2025,7,14,140050,AT001,AT
2025,7,14,140050,DE001,DE
2025,7,14,140051,BE001,BE
2025,7,14,140051,NL001,NL
2025,7,14,140052,AR001,AR
2025,7,14,140054,BE001,BE
2025,7,14,140054,NL001,NL
2025,7,14,140056,BE001,BE
2025,7,14,140056,NL001,NL
2025,7,14,140057,BE001,BE
2025,7,14,140057,NL001,NL
2025,7,11,110001,IT001,IT
2025,7,11,110003,US001,US
2025,7,11,110004,DE001,DE
2025,7,11,110006,CA001,CA
2025,7,11,110054,BR001,BR
2025,7,11,110009,AT001,AT
2025,7,11,110011,PT001,PT
2025,7,11,110012,ES001,ES
2025,7,11,110016,EG001,EG
2025,7,11,110016,GB001,GB
2025,7,11,110018,CO001,CO
2025,7,11,110019,BR001,BR
2025,7,11,110021,HK001,HK
2025,7,11,110023,TW001,TW
2025,7,11,110024,AU001,AU
2025,7,11,110025,SE001,SE
2025,7,11,110026,CL001,CL
2025,7,11,110027,DK001,DK
2025,7,11,110027,NO001,NO
2025,7,11,110028,GR001,GR
2025,7,11,110029,RO001,RO
2025,7,11,110030,IQ001,IQ
2025,7,11,110031,ZA001,ZA
2025,7,11,110034,TH001,TH
2025,7,11,110035,IN001,IN
2025,7,11,110037,AR001,AR
2025,7,11,110039,VN001,VN
2025,7,11,110040,EG001,EG
2025,7,11,110040,IE001,IE
2025,7,11,110040,MX001,MX
2025,7,11,110046,BE001,BE
2025,7,11,110046,NL001,NL
2025,7,11,110047,FR001,FR
2025,7,11,110048,FR001,FR
2025,7,12,120002,US001,US
2025,7,12,120003,FI001,FI
2025,7,12,120003,SE001,SE
2025,7,12,120004,CA001,CA
2025,7,12,120005,DK001,DK
2025,7,12,120008,DE001,DE
2025,7,12,120010,AT001,AT
2025,7,12,120013,CH001,CH
2025,7,12,120014,TW001,TW
2025,7,12,120028,RU001,RU
2025,7,12,120015,BR001,BR
2025,7,12,120016,BE001,BE
2025,7,12,120017,FR001,FR
2025,7,12,120017,FR003,FR
2025,7,12,120018,AU001,AU
2025,7,12,120019,HU001,HU
2025,7,12,120029,CZ001,CZ
2025,7,12,120029,PL001,PL
2025,7,12,120030,IL001,IL
2025,7,12,120022,AR001,AR
2025,7,12,120023,GB001,GB
2025,7,12,120024,ES001,ES
2025,7,12,120024,PT001,PT
2025,7,12,120031,HK001,HK
2025,7,12,120025,JP001,JP
2025,7,12,120032,KR001,KR
2025,7,12,120033,IT001,IT
2025,7,12,120034,SG002,SG
2025,7,12,120038,GR001,GR
2025,7,12,120039,EG001,EG
2025,7,13,130004,BE001,BE
2025,7,13,130004,NL001,NL
2025,7,13,130026,BE001,BE
2025,7,13,130026,NL001,NL
2025,7,13,130005,DE001,DE
2025,7,13,130006,AT001,AT
2025,7,13,130006,CN001,CN
2025,7,13,130006,DE001,DE
2025,7,13,130007,CAR01,CA
2025,7,13,130007,US001,US
2025,7,13,130009,HU001,HU
2025,7,13,130009,RO001,RO
2025,7,13,130010,HU001,HU
2025,7,13,130028,CH001,CH
2025,7,13,130011,BR001,BR
2025,7,13,130012,FR001,FR
2025,7,13,130012,PT001,PT
2025,7,13,130013,EG001,EG
2025,7,13,130013,TR001,TR
2025,7,13,130015,ES001,ES
2025,7,13,130016,ES001,ES
2025,7,13,130017,AT001,AT
2025,7,13,130017,DE001,DE
2025,7,13,130018,IT001,IT
2025,7,13,130021,JP001,JP
2025,7,13,130032,US001,US
2025,7,13,130023,PL001,PL
2025,7,13,130034,IT001,IT
2025,7,13,130035,CH001,CH
2025,7,16,160001,GB001,GB
2025,7,16,160002,GB001,GB
2025,7,16,160002,IL001,IL
2025,7,16,160003,PR001,PR
2025,7,16,160003,US001,US
2025,7,16,160004,IL001,IL
2025,7,16,160004,PR001,PR
2025,7,16,160004,US001,US
2025,7,16,160005,NO001,NO
2025,7,16,160006,NO001,NO
2025,7,16,160007,FI001,FI
2025,7,16,160007,GB001,GB
2025,7,16,160008,FI001,FI
2025,7,16,160008,GB001,GB
2025,7,16,160009,CA001,CA
2025,7,16,160010,CA001,CA
2025,7,16,160013,AT001,AT
2025,7,16,160014,AT001,AT
2025,7,16,160015,DE001,DE
2025,7,16,160016,DE001,DE
2025,7,16,160017,CH001,CH
2025,7,16,160018,CH001,CH
2025,7,16,160019,FR001,FR
2025,7,16,160019,FR003,FR
2025,7,16,160020,FR001,FR
2025,7,16,160020,FR003,FR
2025,7,16,160021,BE001,BE
2025,7,16,160021,NL001,NL
2025,7,16,160022,BE001,BE
2025,7,16,160022,NL001,NL
2025,7,16,160023,CZ001,CZ
2025,7,16,160023,PL001,PL
2025,7,16,160024,CZ001,CZ
2025,7,16,160024,PL001,PL
2025,7,16,160025,IT001,IT
2025,7,16,160026,IT001,IT
2025,7,16,160029,BR001,BR
2025,7,16,160030,TW001,TW
2025,7,16,160031,CY001,CY
2025,7,16,160031,GR001,GR
2025,7,16,160032,CY001,CY
2025,7,16,160033,ES001,ES
2025,7,16,160034,ES001,ES
2025,7,16,160035,PT001,PT
2025,7,16,160036,PT001,PT
2025,7,16,160037,MX001,MX
2025,7,16,160038,MX001,MX
2025,7,16,160039,AE002,AE
2025,7,16,160040,SA001,SA
2025,7,16,160041,AR001,AR
2025,7,16,160042,AR001,AR
2025,7,16,160047,HK001,HK
2025,7,16,160048,HK001,HK
2025,7,16,160050,SG002,SG
2025,7,16,160051,SG002,SG
2025,7,16,160053,TR001,TR
2025,7,16,160054,JP001,JP
2025,7,16,160055,JP001,JP
2025,7,16,160059,RU001,RU
2025,7,16,160060,RU001,RU
2025,7,16,160061,CN001,CN
2025,7,6,600014,PY001,PY
2025,7,6,600039,AE002,AE
2025,7,6,600039,BH001,BH
2025,7,1,100001,AU001,AU
2025,7,1,100004,NZ001,NZ
2025,7,1,100005,NZ001,NZ
2025,7,1,100017,TW001,TW
2025,7,1,100019,HK001,HK
2025,7,2,200013,US001,US
2025,7,3,300002,DE001,DE
2025,7,7,700013,AU001,AU
2025,7,8,800022,IQ001,IQ
2025,7,8,800049,PY001,PY
2025,7,8,800065,AR001,AR
2025,7,15,150022,CH001,CH
2025,7,15,150023,SG002,SG
2025,7,15,150046,CH001,CH
2025,7,15,150083,RU001,RU
2025,7,4,400019,TW001,TW
2025,7,4,400022,HK001,HK
2025,7,4,400044,TW001,TW
2025,7,17,170007,RU001,RU
2025,7,17,170043,SA001,SA
2025,7,17,170045,DZ001,DZ
2025,7,17,170052,MY001,MY
2025,7,14,140055,AR001,AR
2025,7,11,110017,CH001,CH
2025,7,11,110040,JO001,JO
2025,7,13,130013,KW001,KW
2025,7,13,130013,RU001,RU
2025,7,13,130017,CN001,CN
2025,7,16,160032,GR001,GR
2025,7,16,160058,RU001,RU
2025,7,6,600032,BR001,BR
2025,7,6,600039,SA001,SA
2025,7,1,100006,NZ001,NZ
2025,7,1,100018,HK001,HK
2025,7,3,300007,TW001,TW
2025,7,7,700019,IT001,IT
2025,7,8,800043,TN001,TN
2025,7,15,150067,CA001,CA
2025,7,15,150110,OM001,OM
