Month-Year,PRODUCT_FAMILY,GMID,LOC,Country,Sales,Forecast,MAPE,MAPE_Impact,MAPE_Contribution,Absolute Error,Non Absolute Error
23-Nov,1,100031,CA001,CA,31,44,41.90%,0.00%,0.00%,13,13
23-Dec,1,100031,CA001,CA,29,52,79.30%,0.00%,0.00%,23,23
23-Jul,1,100032,CA001,CA,152,100,34.20%,0.00%,0.00%,52,-52
23-Aug,1,100032,CA001,CA,180,91,49.40%,0.01%,0.00%,89,-89
23-Sep,1,100032,CA001,CA,206,133,35.40%,0.01%,0.00%,73,-73
23-Oct,1,100032,CA001,CA,119,101,15.10%,0.00%,0.00%,18,-18
23-Nov,1,100032,CA001,CA,57,90,57.90%,0.00%,0.00%,33,33
23-Dec,1,100032,CA001,CA,0,91,,0.01%,0.00%,91,91
23-Jul,1,100033,CA001,CA,165,129,21.80%,0.00%,0.00%,36,-36
23-Aug,1,100033,CA001,CA,257,173,32.70%,0.01%,0.00%,84,-84
23-Sep,1,100033,CA001,CA,210,178,15.20%,0.00%,0.00%,32,-32
23-Oct,1,100033,CA001,CA,170,128,24.70%,0.00%,0.00%,42,-42
23-Nov,1,100033,CA001,CA,155,116,25.20%,0.00%,0.00%,39,-39
23-Dec,1,100033,CA001,CA,87,142,63.20%,0.01%,0.00%,55,55
23-Sep,1,100034,CA001,CA,181,113,37.60%,0.01%,0.00%,68,-68
23-Oct,1,100034,CA001,CA,161,95,41.00%,0.01%,0.00%,66,-66
23-Nov,1,100034,CA001,CA,130,91,30.00%,0.00%,0.00%,39,-39
23-Dec,1,100034,CA001,CA,113,132,16.80%,0.00%,0.00%,19,19
23-Oct,2,200001,US001,US,650,1179,81.40%,0.05%,0.20%,529,529
23-Nov,2,200001,US001,US,741,1299,75.30%,0.05%,0.30%,558,558
23-Dec,2,200001,US001,US,743,922,24.10%,0.02%,0.10%,179,179
23-Oct,2,200002,US001,US,601,1213,101.80%,0.06%,0.20%,612,612
23-Nov,2,200002,US001,US,797,1336,67.60%,0.05%,0.30%,539,539
23-Dec,2,200002,US001,US,812,1026,26.40%,0.02%,0.10%,214,214
23-Oct,2,200003,US001,US,946,1195,26.30%,0.02%,0.10%,249,249
23-Nov,2,200003,US001,US,"1,079",1316,22.00%,0.02%,0.10%,237,237
23-Dec,2,200003,US001,US,"1,079",999,7.40%,0.01%,0.00%,80,-80
23-Aug,2,200004,IE001,IE,11,0,100.00%,0.00%,0.00%,11,-11
23-Oct,2,200004,US001,US,741,1415,91.00%,0.06%,0.30%,674,674
23-Nov,2,200004,US001,US,775,1559,101.20%,0.08%,0.40%,784,784
23-Dec,2,200004,US001,US,"1,050",1297,23.50%,0.02%,0.10%,247,247
23-Aug,2,200005,IE001,IE,11,0,100.00%,0.00%,0.00%,11,-11
23-Oct,2,200005,US001,US,366,809,121.00%,0.04%,0.20%,443,443
23-Nov,2,200005,US001,US,376,891,137.00%,0.05%,0.30%,515,515
23-Dec,2,200005,US001,US,447,507,13.40%,0.01%,0.00%,60,60
23-Oct,2,200006,US001,US,728,916,25.80%,0.02%,0.10%,188,188
