Month-Year,PRODUCT_FAMILY,GMID,LOC,Country,Sales,Forecast,MAPE,MAPE_Impact,MAPE_Contribution,Absolute Error,Non Absolute Error
24-Dec,15,150014,NZ001,NZ,20,12,40.00%,0.00%,0.00%,8,-8
24-Jan,15,150015,BE001,BE,401,365,9.00%,0.00%,0.00%,36,-36
24-Feb,15,150015,BE001,BE,427,360,15.70%,0.01%,0.00%,67,-67
24-Mar,15,150015,BE001,BE,413,448,8.50%,0.00%,0.00%,35,35
24-Apr,15,150015,BE001,BE,468,454,3.00%,0.00%,0.00%,14,-14
24-Aug,15,150015,BE001,BE,470,430,8.50%,0.00%,0.00%,40,-40
24-Sep,15,150015,BE001,BE,401,525.5080631,31.00%,0.01%,0.00%,124.5080631,124.5080631
24-Oct,15,150015,BE001,BE,706,541.0137123,23.40%,0.01%,0.10%,164.9862877,-164.9862877
24-Nov,15,150015,BE001,BE,406,457.3034864,12.60%,0.00%,0.00%,51.30348637,51.30348637
24-Dec,15,150015,BE001,BE,439,450.3605822,2.60%,0.00%,0.00%,11.3605822,11.3605822
24-Jan,15,150016,IL001,IL,"2,660",2148,19.20%,0.05%,0.20%,512,-512
24-Feb,15,150016,IL001,IL,"2,792",2444,12.50%,0.03%,0.20%,348,-348
24-Mar,15,150016,IL001,IL,"3,112",2499,19.70%,0.05%,0.20%,613,-613
24-Apr,15,150016,IL001,IL,"2,343",2334,0.40%,0.00%,0.00%,9,-9
24-May,15,150016,IL001,IL,"2,992",2418,19.20%,0.04%,0.20%,574,-574
24-Jun,15,150016,IL001,IL,"2,506",2495,0.40%,0.00%,0.00%,11,-11
24-Jul,15,150016,IL001,IL,"3,150",2417,23.30%,0.05%,0.30%,733,-733
24-Aug,15,150016,IL001,IL,"2,409",2380,1.20%,0.00%,0.00%,29,-29
24-Sep,15,150016,IL001,IL,"2,509",2300,8.30%,0.02%,0.10%,209,-209
24-Oct,15,150016,IL001,IL,"2,364",2200,6.90%,0.01%,0.10%,164,-164
24-Nov,15,150016,IL001,IL,"2,403",2150,10.50%,0.02%,0.10%,253,-253
24-Dec,15,150016,IL001,IL,"2,588",2070,20.00%,0.04%,0.20%,518,-518
24-Jan,15,150018,FR001,FR,"6,976",6117.135,12.30%,0.08%,0.30%,858.865,-858.865
24-Feb,15,150018,FR001,FR,"5,865",6098.8,4.00%,0.02%,0.10%,233.8,233.8
24-Mar,15,150018,FR001,FR,"5,804",6387.335,10.10%,0.05%,0.20%,583.335,583.335
24-Apr,15,150018,FR001,FR,"5,461",6858.456092,25.60%,0.11%,0.70%,1397.456092,1397.456092
24-May,15,150018,FR001,FR,"6,939",7306.010629,5.30%,0.03%,0.10%,367.0106294,367.0106294
24-Jun,15,150018,FR001,FR,"6,836",7355.027016,7.60%,0.04%,0.30%,519.0270162,519.0270162
24-Jul,15,150018,FR001,FR,"6,382",6895.999481,8.10%,0.04%,0.20%,513.9994813,513.9994813
24-Aug,15,150018,FR001,FR,"6,419",6268.831341,2.30%,0.01%,0.10%,150.1686585,-150.1686585
24-Sep,15,150018,FR001,FR,"5,987",6784.062054,13.30%,0.06%,0.30%,797.0620536,797.0620536
24-Oct,15,150018,FR001,FR,"7,233",6716.574276,7.10%,0.03%,0.20%,516.4257244,-516.4257244
24-Nov,15,150018,FR001,FR,"7,109",6899.445221,2.90%,0.02%,0.10%,209.5547787,-209.5547787
24-Dec,15,150018,FR001,FR,"6,897",7425.133199,7.70%,0.04%,0.20%,528.1331988,528.1331988
24-Jan,15,150018,FR003,FR,270,221.865,17.80%,0.00%,0.00%,48.135,-48.135
24-Feb,15,150018,FR003,FR,167,221.2,32.50%,0.00%,0.00%,54.2,54.2
24-Mar,15,150018,FR003,FR,285,231.665,18.70%,0.00%,0.00%,53.335,-53.335
24-Apr,15,150018,FR003,FR,249,264.5439081,6.20%,0.00%,0.00%,15.54390813,15.54390813
24-May,15,150018,FR003,FR,176,281.1214589,59.70%,0.01%,0.00%,105.1214589,105.1214589
24-Jun,15,150018,FR003,FR,354,283.0075167,20.10%,0.01%,0.00%,70.99248335,-70.99248335
24-Jul,15,150018,FR003,FR,267,265.345006,0.60%,0.00%,0.00%,1.654993959,-1.654993959
24-Aug,15,150018,FR003,FR,287,241.2127632,16.00%,0.00%,0.00%,45.78723676,-45.78723676
24-Sep,15,150018,FR003,FR,129,261.0378657,102.40%,0.01%,0.10%,132.0378657,132.0378657
24-Oct,15,150018,FR003,FR,245,258.4410638,5.50%,0.00%,0.00%,13.44106377,13.44106377
24-Nov,15,150018,FR003,FR,355,262.176773,26.10%,0.01%,0.00%,92.82322699,-92.82322699
24-Dec,15,150018,FR003,FR,143,285.7050699,99.80%,0.01%,0.00%,142.7050699,142.7050699
24-Jan,15,150019,MX001,MX,731,760,4.00%,0.00%,0.00%,29,29
24-Feb,15,150019,MX001,MX,675,1469,117.60%,0.07%,0.40%,794,794
24-Mar,15,150019,MX001,MX,793,1330,67.70%,0.05%,0.20%,537,537
24-Apr,15,150019,MX001,MX,848,1192,40.60%,0.03%,0.20%,344,344
24-May,15,150019,MX001,MX,746,1103,47.90%,0.03%,0.10%,357,357
24-Jun,15,150019,MX001,MX,"1,619",1061,34.50%,0.05%,0.30%,558,-558
24-Jul,15,150019,MX001,MX,"1,144",2274,98.80%,0.08%,0.50%,1130,1130
24-Aug,15,150019,MX001,MX,"1,023",1846,80.40%,0.06%,0.30%,823,823
24-Sep,15,150019,MX001,MX,692,1589,129.60%,0.07%,0.40%,897,897
24-Oct,15,150019,MX001,MX,"1,215",1105,9.10%,0.01%,0.00%,110,-110
24-Nov,15,150019,MX001,MX,682,691,1.30%,0.00%,0.00%,9,9
24-Dec,15,150019,MX001,MX,"1,047",806,23.00%,0.02%,0.10%,241,-241
24-Oct,15,150020,QA001,QA,"4,418",0,100.00%,0.29%,1.50%,4418,-4418
24-Jan,15,150020,SA001,SA,"7,221",6263.644322,13.30%,0.09%,0.40%,957.3556776,-957.3556776
24-Feb,15,150020,SA001,SA,"3,697",3732.073272,0.90%,0.00%,0.00%,35.0732718,35.0732718
24-Mar,15,150020,SA001,SA,"8,191",4212.358697,48.60%,0.34%,1.30%,3978.641303,-3978.641303
24-Apr,15,150020,SA001,SA,"2,926",7403,153.00%,0.34%,2.20%,4477,4477
24-May,15,150020,SA001,SA,"6,181",4920,20.40%,0.09%,0.50%,1261,-1261
24-Jun,15,150020,SA001,SA,"2,246",3978,77.10%,0.14%,0.90%,1732,1732
24-Jul,15,150020,SA001,SA,"6,283",3711.011921,40.90%,0.19%,1.10%,2571.988079,-2571.988079
24-Aug,15,150020,SA001,SA,0,2905.795181,,0.22%,1.10%,2905.795181,2905.795181
24-Sep,15,150020,SA001,SA,0,2928,,0.23%,1.20%,2928,2928
24-Oct,15,150020,SA001,SA,"5,000",4090,18.20%,0.06%,0.30%,910,-910
24-Jan,15,150021,PL001,PL,"1,080",1096,1.50%,0.00%,0.00%,16,16
24-Feb,15,150021,PL001,PL,"1,052",1126,7.00%,0.01%,0.00%,74,74
24-Mar,15,150021,PL001,PL,"1,267",1180,6.90%,0.01%,0.00%,87,-87
24-Apr,15,150021,PL001,PL,"1,256",1242,1.10%,0.00%,0.00%,14,-14
24-May,15,150021,PL001,PL,"1,446",1330,8.00%,0.01%,0.00%,116,-116
24-Jun,15,150021,PL001,PL,"1,384",1388,0.30%,0.00%,0.00%,4,4
24-Jul,15,150021,PL001,PL,"1,472",1561,6.00%,0.01%,0.00%,89,89
24-Aug,15,150021,PL001,PL,"1,529",1633,6.80%,0.01%,0.00%,104,104
24-Sep,15,150021,PL001,PL,"1,465",1730,18.10%,0.02%,0.10%,265,265
24-Oct,15,150021,PL001,PL,"1,785",1730,3.10%,0.00%,0.00%,55,-55
24-Nov,15,150021,PL001,PL,"1,479",1813,22.60%,0.03%,0.10%,334,334
24-Dec,15,150021,PL001,PL,"1,855",1890,1.90%,0.00%,0.00%,35,35
24-Jan,15,150022,CH001,CH,"1,580",1800,13.90%,0.02%,0.10%,220,220
24-Feb,15,150022,CH001,CH,"1,774",1749.546969,1.40%,0.00%,0.00%,24.45303137,-24.45303137
24-Mar,15,150022,CH001,CH,"1,741",1884.180216,8.20%,0.01%,0.00%,143.1802155,143.1802155
24-Apr,15,150022,CH001,CH,"1,884",1917.01095,1.80%,0.00%,0.00%,33.01094956,33.01094956
24-May,15,150022,CH001,CH,"1,976",1933.259903,2.20%,0.00%,0.00%,42.74009675,-42.74009675
24-Jun,15,150022,CH001,CH,"1,733",1995.589143,15.20%,0.02%,0.10%,262.5891432,262.5891432
24-Jul,15,150022,CH001,CH,"2,132",1832.429487,14.10%,0.02%,0.10%,299.5705126,-299.5705126
24-Aug,15,150022,CH001,CH,"1,696",1833.107252,8.10%,0.01%,0.10%,137.1072516,137.1072516
24-Sep,15,150022,CH001,CH,"1,989",1973.184197,0.80%,0.00%,0.00%,15.81580337,-15.81580337
24-Oct,15,150022,CH001,CH,"2,063",1839.568815,10.80%,0.01%,0.10%,223.431185,-223.431185
24-Nov,15,150022,CH001,CH,"2,116",1920.144522,9.30%,0.02%,0.10%,195.855478,-195.855478
24-Dec,15,150022,CH001,CH,"2,125",2072.88296,2.50%,0.00%,0.00%,52.11704007,-52.11704007
24-Dec,15,150023,SG002,SG,30,0,100.00%,0.00%,0.00%,30,-30
24-Jan,15,150024,CO001,CO,"3,589",3249,9.50%,0.03%,0.10%,340,-340
24-Feb,15,150024,CO001,CO,"4,097",3568,12.90%,0.05%,0.30%,529,-529
24-Mar,15,150024,CO001,CO,"3,921",4133,5.40%,0.02%,0.10%,212,212
24-Apr,15,150024,CO001,CO,"3,635",4331,19.10%,0.05%,0.30%,696,696
24-May,15,150024,CO001,CO,"5,641",4489,20.40%,0.09%,0.40%,1152,-1152
24-Jun,15,150024,CO001,CO,"2,900",4599,58.60%,0.14%,0.90%,1699,1699
24-Jul,15,150024,CO001,CO,"4,561",4708,3.20%,0.01%,0.10%,147,147
24-Aug,15,150024,CO001,CO,"3,172",4908,54.70%,0.13%,0.70%,1736,1736
24-Sep,15,150024,CO001,CO,"3,697",5015,35.70%,0.10%,0.50%,1318,1318
24-Oct,15,150024,CO001,CO,"4,512",4600,2.00%,0.01%,0.00%,88,88
24-Nov,15,150024,CO001,CO,"2,728",4746,74.00%,0.16%,0.70%,2018,2018
24-Dec,15,150024,CO001,CO,"2,741",4496,64.00%,0.13%,0.50%,1755,1755
24-Jan,15,150025,PR001,PR,16,60,275.00%,0.00%,0.00%,44,44
24-Feb,15,150025,PR001,PR,38,60,57.90%,0.00%,0.00%,22,22
24-Mar,15,150025,PR001,PR,72,60,16.70%,0.00%,0.00%,12,-12
24-Apr,15,150025,PR001,PR,56,70,25.00%,0.00%,0.00%,14,14
24-May,15,150025,PR001,PR,52,70,34.60%,0.00%,0.00%,18,18
24-Jun,15,150025,PR001,PR,78,70,10.30%,0.00%,0.00%,8,-8
24-Jul,15,150025,PR001,PR,67,70,4.50%,0.00%,0.00%,3,3
24-Aug,15,150025,PR001,PR,88,70,20.50%,0.00%,0.00%,18,-18
24-Sep,15,150025,PR001,PR,32,70,118.80%,0.00%,0.00%,38,38
24-Oct,15,150025,PR001,PR,89,70,21.30%,0.00%,0.00%,19,-19
24-Nov,15,150025,PR001,PR,57,70,22.80%,0.00%,0.00%,13,13
24-Dec,15,150025,PR001,PR,45,70,55.60%,0.00%,0.00%,25,25
24-Jan,15,150025,US001,US,"15,092",14002,7.20%,0.10%,0.40%,1090,-1090
24-Feb,15,150025,US001,US,"13,909",13568,2.50%,0.03%,0.20%,341,-341
24-Mar,15,150025,US001,US,"14,222",15945,12.10%,0.15%,0.60%,1723,1723
24-Apr,15,150025,US001,US,"16,979",14617,13.90%,0.18%,1.20%,2362,-2362
24-May,15,150025,US001,US,"15,987",18413,15.20%,0.18%,0.90%,2426,2426
24-Jun,15,150025,US001,US,"14,150",14623,3.30%,0.04%,0.30%,473,473
24-Jul,15,150025,US001,US,"16,937",16021,5.40%,0.07%,0.40%,916,-916
24-Aug,15,150025,US001,US,"17,793",15855,10.90%,0.15%,0.80%,1938,-1938
24-Sep,15,150025,US001,US,"13,707",14775,7.80%,0.08%,0.40%,1068,1068
24-Oct,15,150025,US001,US,"20,085",16273,19.00%,0.25%,1.30%,3812,-3812
24-Nov,15,150025,US001,US,"13,569",14539,7.10%,0.08%,0.30%,970,970
24-Dec,15,150025,US001,US,"14,000",15820,13.00%,0.14%,0.50%,1820,1820
24-Jan,15,150026,SG002,SG,744,641,13.80%,0.01%,0.00%,103,-103
24-Feb,15,150026,SG002,SG,683,653,4.40%,0.00%,0.00%,30,-30
24-Mar,15,150026,SG002,SG,811,805,0.70%,0.00%,0.00%,6,-6
24-Apr,15,150026,SG002,SG,"1,018",813,20.10%,0.02%,0.10%,205,-205
24-May,15,150026,SG002,SG,942,782,17.00%,0.01%,0.10%,160,-160
24-Jun,15,150026,SG002,SG,843,768,8.90%,0.01%,0.00%,75,-75
24-Jul,15,150026,SG002,SG,915,746,18.50%,0.01%,0.10%,169,-169
24-Aug,15,150026,SG002,SG,826,714,13.60%,0.01%,0.00%,112,-112
24-Sep,15,150026,SG002,SG,"1,475",819,44.50%,0.05%,0.30%,656,-656
24-Oct,15,150026,SG002,SG,"1,847",774,58.10%,0.07%,0.40%,1073,-1073
24-Nov,15,150026,SG002,SG,"1,761",732,58.40%,0.08%,0.40%,1029,-1029
24-Dec,15,150026,SG002,SG,"1,787",976,45.40%,0.06%,0.20%,811,-811
24-Jan,15,150028,TW001,TW,"2,167",1878.9,13.30%,0.03%,0.10%,288.1,-288.1
24-Feb,15,150028,TW001,TW,"1,057",1932.5,82.80%,0.08%,0.40%,875.5,875.5
24-Mar,15,150028,TW001,TW,"1,467",1966.4,34.00%,0.04%,0.20%,499.4,499.4
24-Apr,15,150028,TW001,TW,"1,716",2150,25.30%,0.03%,0.20%,434,434
24-May,15,150028,TW001,TW,"1,965",2356,19.90%,0.03%,0.10%,391,391
24-Jun,15,150028,TW001,TW,"1,697",2346.62,38.30%,0.05%,0.30%,649.62,649.62
24-Jul,15,150028,TW001,TW,"1,836",2480.69,35.10%,0.05%,0.30%,644.69,644.69
24-Aug,15,150028,TW001,TW,"1,941",2574.1,32.60%,0.05%,0.20%,633.1,633.1
24-Sep,15,150028,TW001,TW,"1,814",2662.6,46.80%,0.07%,0.30%,848.6,848.6
24-Oct,15,150028,TW001,TW,"1,669",2795.77,67.50%,0.08%,0.40%,1126.77,1126.77
24-Nov,15,150028,TW001,TW,"1,926",2872.02,49.10%,0.07%,0.30%,946.02,946.02
24-Dec,15,150028,TW001,TW,"2,272",2983,31.30%,0.05%,0.20%,711,711
24-Jan,15,150029,MY001,MY,626,511,18.40%,0.01%,0.00%,115,-115
24-Feb,15,150029,MY001,MY,680,530,22.10%,0.01%,0.10%,150,-150
24-Mar,15,150029,MY001,MY,553,551,0.40%,0.00%,0.00%,2,-2
24-Apr,15,150029,MY001,MY,573,561,2.10%,0.00%,0.00%,12,-12
24-May,15,150029,MY001,MY,736,571,22.40%,0.01%,0.10%,165,-165
24-Jun,15,150029,MY001,MY,636,591,7.10%,0.00%,0.00%,45,-45
24-Jul,15,150029,MY001,MY,642,604,5.90%,0.00%,0.00%,38,-38
24-Aug,15,150029,MY001,MY,653,621,4.90%,0.00%,0.00%,32,-32
24-Sep,15,150029,MY001,MY,693,628,9.40%,0.01%,0.00%,65,-65
24-Oct,15,150029,MY001,MY,898,673,25.10%,0.02%,0.10%,225,-225
24-Nov,15,150029,MY001,MY,910,745,18.10%,0.01%,0.10%,165,-165
24-Dec,15,150029,MY001,MY,773,798,3.20%,0.00%,0.00%,25,25
24-Jan,15,150030,AT001,AT,127,107,15.70%,0.00%,0.00%,20,-20
24-Feb,15,150030,AT001,AT,104,110.6977167,6.40%,0.00%,0.00%,6.697716704,6.697716704
24-Mar,15,150030,AT001,AT,76,79.28892571,4.30%,0.00%,0.00%,3.288925712,3.288925712
24-Apr,15,150030,AT001,AT,68,81.21218046,19.40%,0.00%,0.00%,13.21218046,13.21218046
24-May,15,150030,AT001,AT,66,84.0119624,27.30%,0.00%,0.00%,18.0119624,18.0119624
24-Jun,15,150030,AT001,AT,71,96.92189635,36.50%,0.00%,0.00%,25.92189635,25.92189635
24-Jul,15,150030,AT001,AT,73,97.38892171,33.40%,0.00%,0.00%,24.38892171,24.38892171
24-Aug,15,150030,AT001,AT,54,91.40865639,69.30%,0.00%,0.00%,37.40865639,37.40865639
24-Sep,15,150030,AT001,AT,67,87.9195731,31.20%,0.00%,0.00%,20.9195731,20.9195731
24-Oct,15,150030,AT001,AT,47,95.47326552,103.10%,0.00%,0.00%,48.47326552,48.47326552
24-Nov,15,150030,AT001,AT,50,75.63052271,51.30%,0.00%,0.00%,25.63052271,25.63052271
24-Dec,15,150030,AT001,AT,113,68.57075317,39.30%,0.00%,0.00%,44.42924683,-44.42924683
24-Jan,15,150030,BE001,BE,8,15,87.50%,0.00%,0.00%,7,7
24-Feb,15,150030,BE001,BE,11,15,36.40%,0.00%,0.00%,4,4
24-Mar,15,150030,BE001,BE,11,0,100.00%,0.00%,0.00%,11,-11
24-Apr,15,150030,BE001,BE,8,0,100.00%,0.00%,0.00%,8,-8
24-May,15,150030,BE001,BE,6,0,100.00%,0.00%,0.00%,6,-6
24-Jun,15,150030,BE001,BE,6,0,100.00%,0.00%,0.00%,6,-6
24-Jan,15,150030,DE001,DE,287,334.9840503,16.70%,0.00%,0.00%,47.98405028,47.98405028
24-Feb,15,150030,DE001,DE,261,330.5516568,26.60%,0.01%,0.00%,69.5516568,69.5516568
24-Mar,15,150030,DE001,DE,263,362.9915649,38.00%,0.01%,0.00%,99.9915649,99.9915649
24-Apr,15,150030,DE001,DE,304,354.3382745,16.60%,0.00%,0.00%,50.3382745,50.3382745
24-May,15,150030,DE001,DE,377,317.8916512,15.70%,0.00%,0.00%,59.1083488,-59.1083488
24-Jun,15,150030,DE001,DE,302,312.1190908,3.40%,0.00%,0.00%,10.11909077,10.11909077
24-Jul,15,150030,DE001,DE,276,367.5905006,33.20%,0.01%,0.00%,91.59050056,91.59050056
24-Aug,15,150030,DE001,DE,323,326.2786559,1.00%,0.00%,0.00%,3.278655945,3.278655945
24-Sep,15,150030,DE001,DE,361,385.5996899,6.80%,0.00%,0.00%,24.59968992,24.59968992
24-Oct,15,150030,DE001,DE,395,368.0481498,6.80%,0.00%,0.00%,26.95185022,-26.95185022
24-Nov,15,150030,DE001,DE,359,388.2571378,8.10%,0.00%,0.00%,29.25713781,29.25713781
24-Dec,15,150030,DE001,DE,271,274.2207529,1.20%,0.00%,0.00%,3.220752944,3.220752944
24-Jan,15,150031,DE001,DE,382,436.1621271,14.20%,0.00%,0.00%,54.16212714,54.16212714
24-Feb,15,150031,DE001,DE,347,308.1800326,11.20%,0.00%,0.00%,38.81996743,-38.81996743
24-Mar,15,150031,DE001,DE,344,392.9112296,14.20%,0.00%,0.00%,48.91122964,48.91122964
24-Apr,15,150031,DE001,DE,336,417.6609512,24.30%,0.01%,0.00%,81.66095118,81.66095118
24-May,15,150031,DE001,DE,423,332.6867962,21.40%,0.01%,0.00%,90.31320375,-90.31320375
24-Jun,15,150031,DE001,DE,333,361.9080102,8.70%,0.00%,0.00%,28.90801017,28.90801017
24-Jul,15,150031,DE001,DE,397,418.0534399,5.30%,0.00%,0.00%,21.05343992,21.05343992
24-Aug,15,150031,DE001,DE,337,380.2263734,12.80%,0.00%,0.00%,43.22637338,43.22637338
24-Sep,15,150031,DE001,DE,394,406.6352534,3.20%,0.00%,0.00%,12.63525339,12.63525339
24-Oct,15,150031,DE001,DE,413,419.4070814,1.60%,0.00%,0.00%,6.407081407,6.407081407
24-Nov,15,150031,DE001,DE,384,407.2877059,6.10%,0.00%,0.00%,23.28770594,23.28770594
24-Dec,15,150031,DE001,DE,396,382.1230583,3.50%,0.00%,0.00%,13.87694169,-13.87694169
24-Jan,15,150032,CZ001,CZ,906,750,17.20%,0.01%,0.10%,156,-156
24-Feb,15,150032,CZ001,CZ,699,801,14.60%,0.01%,0.00%,102,102
24-Mar,15,150032,CZ001,CZ,666,801,20.30%,0.01%,0.00%,135,135
24-Apr,15,150032,CZ001,CZ,"1,108",850,23.30%,0.02%,0.10%,258,-258
24-May,15,150032,CZ001,CZ,693,850,22.70%,0.01%,0.10%,157,157
24-Jun,15,150032,CZ001,CZ,870,900,3.40%,0.00%,0.00%,30,30
24-Jul,15,150032,CZ001,CZ,869,800,7.90%,0.00%,0.00%,69,-69
24-Aug,15,150032,CZ001,CZ,763,799,4.70%,0.00%,0.00%,36,36
24-Sep,15,150032,CZ001,CZ,957,950,0.70%,0.00%,0.00%,7,-7
24-Oct,15,150032,CZ001,CZ,"1,028",901,12.40%,0.01%,0.00%,127,-127
24-Nov,15,150032,CZ001,CZ,664,950,43.10%,0.02%,0.10%,286,286
24-Dec,15,150032,CZ001,CZ,766,910,18.80%,0.01%,0.00%,144,144
24-Jan,15,150033,CA001,CA,679,639,5.90%,0.00%,0.00%,40,-40
24-Feb,15,150033,CA001,CA,719,650,9.60%,0.01%,0.00%,69,-69
24-Mar,15,150033,CA001,CA,694,649,6.50%,0.00%,0.00%,45,-45
24-Apr,15,150033,CA001,CA,814,647,20.50%,0.01%,0.10%,167,-167
24-May,15,150033,CA001,CA,826,763,7.60%,0.00%,0.00%,63,-63
24-Jun,15,150033,CA001,CA,769,758,1.40%,0.00%,0.00%,11,-11
24-Jul,15,150033,CA001,CA,952,847,11.00%,0.01%,0.00%,105,-105
24-Aug,15,150033,CA001,CA,"1,166",908,22.10%,0.02%,0.10%,258,-258
24-Sep,15,150033,CA001,CA,774,920,18.90%,0.01%,0.10%,146,146
24-Oct,15,150033,CA001,CA,"1,044",874,16.30%,0.01%,0.10%,170,-170
24-Nov,15,150033,CA001,CA,957,849,11.30%,0.01%,0.00%,108,-108
24-Dec,15,150033,CA001,CA,959,1163.8,21.40%,0.02%,0.10%,204.8,204.8
24-Jan,15,150034,ES001,ES,28,56,100.00%,0.00%,0.00%,28,28
24-Feb,15,150034,ES001,ES,33,56,69.70%,0.00%,0.00%,23,23
24-Mar,15,150034,ES001,ES,17,58,241.20%,0.00%,0.00%,41,41
24-Apr,15,150034,ES001,ES,72,60,16.70%,0.00%,0.00%,12,-12
24-May,15,150034,ES001,ES,56,60,7.10%,0.00%,0.00%,4,4
24-Jun,15,150034,ES001,ES,70,63,10.00%,0.00%,0.00%,7,-7
24-Jul,15,150034,ES001,ES,58,59,1.70%,0.00%,0.00%,1,1
24-Aug,15,150034,ES001,ES,55,40.91972549,25.60%,0.00%,0.00%,14.08027451,-14.08027451
24-Sep,15,150034,ES001,ES,39,63.37873336,62.50%,0.00%,0.00%,24.37873336,24.37873336
24-Oct,15,150034,ES001,ES,77,64.25252298,16.60%,0.00%,0.00%,12.74747702,-12.74747702
24-Nov,15,150034,ES001,ES,71,65.6496385,7.50%,0.00%,0.00%,5.350361503,-5.350361503
24-Dec,15,150034,ES001,ES,52,65.90407314,26.70%,0.00%,0.00%,13.90407314,13.90407314
24-Jul,15,150034,PT001,PT,1,5,400.00%,0.00%,0.00%,4,4
24-Aug,15,150034,PT001,PT,0,7,,0.00%,0.00%,7,7
24-Sep,15,150034,PT001,PT,2,8,300.00%,0.00%,0.00%,6,6
24-Oct,15,150034,PT001,PT,5,12,140.00%,0.00%,0.00%,7,7
24-Nov,15,150034,PT001,PT,2,15,650.00%,0.00%,0.00%,13,13
24-Dec,15,150034,PT001,PT,2,14,600.00%,0.00%,0.00%,12,12
24-Jan,15,150035,PT001,PT,68,137.7322048,102.50%,0.01%,0.00%,69.7322048,69.7322048
24-Feb,15,150035,PT001,PT,179,136.4552439,23.80%,0.00%,0.00%,42.5447561,-42.5447561
24-Mar,15,150035,PT001,PT,128,284.6383551,122.40%,0.01%,0.10%,156.6383551,156.6383551
24-Apr,15,150035,PT001,PT,332,255.8024341,23.00%,0.01%,0.00%,76.19756589,-76.19756589
24-May,15,150035,PT001,PT,233,179.7982761,22.80%,0.00%,0.00%,53.20172387,-53.20172387
24-Jun,15,150035,PT001,PT,178,205.1576454,15.30%,0.00%,0.00%,27.15764538,27.15764538
24-Jul,15,150035,PT001,PT,250,194.4131901,22.20%,0.00%,0.00%,55.5868099,-55.5868099
24-Aug,15,150035,PT001,PT,110,189.6793861,72.40%,0.01%,0.00%,79.67938606,79.67938606
24-Sep,15,150035,PT001,PT,267,220.0592471,17.60%,0.00%,0.00%,46.9407529,-46.9407529
24-Oct,15,150035,PT001,PT,227,237.4537096,4.60%,0.00%,0.00%,10.4537096,10.4537096
24-Nov,15,150035,PT001,PT,335,252.3632104,24.70%,0.01%,0.00%,82.63678958,-82.63678958
24-Dec,15,150035,PT001,PT,300,199.3379011,33.60%,0.01%,0.00%,100.6620989,-100.6620989
24-Jan,15,150036,CO001,CO,738,811,9.90%,0.01%,0.00%,73,73
24-Feb,15,150036,CO001,CO,774,836,8.00%,0.01%,0.00%,62,62
24-Mar,15,150036,CO001,CO,648,1005,55.10%,0.03%,0.10%,357,357
24-Apr,15,150036,CO001,CO,864,1045,20.90%,0.01%,0.10%,181,181
24-May,15,150036,CO001,CO,829,1071,29.20%,0.02%,0.10%,242,242
24-Jun,15,150036,CO001,CO,731,1049,43.50%,0.03%,0.20%,318,318
24-Jul,15,150036,CO001,CO,"1,142",1073,6.00%,0.00%,0.00%,69,-69
24-Aug,15,150036,CO001,CO,800,1115,39.40%,0.02%,0.10%,315,315
24-Sep,15,150036,CO001,CO,867,1139,31.40%,0.02%,0.10%,272,272
24-Oct,15,150036,CO001,CO,720,913,26.80%,0.01%,0.10%,193,193
24-Nov,15,150036,CO001,CO,609,936,53.70%,0.03%,0.10%,327,327
24-Dec,15,150036,CO001,CO,583,775,32.90%,0.01%,0.10%,192,192
24-Mar,15,150037,CAR01,CA,5,0,100.00%,0.00%,0.00%,5,-5
24-Apr,15,150037,CAR01,CA,0,0,,0.00%,0.00%,0,0
24-Jun,15,150037,CAR01,CA,0,0,,0.00%,0.00%,0,0
24-Sep,15,150037,CAR01,CA,5,0,100.00%,0.00%,0.00%,5,-5
24-Oct,15,150037,CAR01,CA,5,0,100.00%,0.00%,0.00%,5,-5
24-Nov,15,150037,CAR01,CA,0,0,,0.00%,0.00%,0,0
24-Dec,15,150037,CAR01,CA,0,0,,0.00%,0.00%,0,0
24-Apr,15,150037,CR001,CR,0,0,,0.00%,0.00%,0,0
24-May,15,150037,CR001,CR,0,0,,0.00%,0.00%,0,0
24-Jun,15,150037,CR001,CR,0,0,,0.00%,0.00%,0,0
24-Jul,15,150037,CR001,CR,0,0,,0.00%,0.00%,0,0
24-Aug,15,150037,CR001,CR,0,0,,0.00%,0.00%,0,0
24-Sep,15,150037,CR001,CR,0,0,,0.00%,0.00%,0,0
24-Oct,15,150037,CR001,CR,0,1,,0.00%,0.00%,1,1
24-Nov,15,150037,CR001,CR,6,0,100.00%,0.00%,0.00%,6,-6
24-Dec,15,150037,CR001,CR,0,0,,0.00%,0.00%,0,0
24-Jan,15,150037,DO001,DO,0,29,,0.00%,0.00%,29,29
24-Feb,15,150037,DO001,DO,0,24,,0.00%,0.00%,24,24
24-Mar,15,150037,DO001,DO,0,24,,0.00%,0.00%,24,24
24-Apr,15,150037,DO001,DO,0,24,,0.00%,0.00%,24,24
24-May,15,150037,DO001,DO,0,24,,0.00%,0.00%,24,24
24-Jun,15,150037,DO001,DO,0,24,,0.00%,0.00%,24,24
24-Jul,15,150037,DO001,DO,0,376,,0.03%,0.20%,376,376
24-Aug,15,150037,DO001,DO,0,24,,0.00%,0.00%,24,24
24-Sep,15,150037,DO001,DO,0,24,,0.00%,0.00%,24,24
24-Oct,15,150037,DO001,DO,0,1011,,0.07%,0.40%,1011,1011
