month,year,product_family,gmid,loc,country,sales,gmid_key
5,2025,15,150009,SE001,SE,805,150009_202505_SE
5,2025,15,150010,KR001,KR,4980,150010_202505_KR
5,2025,15,150011,GB001,GB,3766,150011_202505_GB
5,2025,15,150012,ES001,ES,1332,150012_202505_ES
5,2025,15,150013,BR001,BR,2370,150013_202505_BR
5,2025,15,150014,AU001,AU,22877,150014_202505_AU
5,2025,15,150014,NZ001,NZ,8,150014_202505_NZ
5,2025,15,150015,BE001,BE,514,150015_202505_BE
5,2025,15,150016,IL001,IL,2423,150016_202505_IL
5,2025,15,150018,FR001,FR,8107,150018_202505_FR
5,2025,15,150019,MX001,MX,1345,150019_202505_MX
5,2025,15,150021,PL001,PL,2066,150021_202505_PL
5,2025,15,150024,CO001,CO,3839,150024_202505_CO
5,2025,15,150025,PR001,PR,64,150025_202505_PR
5,2025,15,150025,US001,US,16811,150025_202505_US
5,2025,15,150026,SG002,SG,1726,150026_202505_SG
5,2025,15,150028,TW001,TW,2328,150028_202505_TW
5,2025,15,150029,MY001,MY,936,150029_202505_MY
5,2025,15,150030,AT001,AT,86,150030_202505_AT
5,2025,15,150030,DE001,DE,283,150030_202505_DE
5,2025,15,150031,DE001,DE,406,150031_202505_DE
5,2025,15,150032,CZ001,CZ,725,150032_202505_CZ
5,2025,15,150033,CA001,CA,1395,150033_202505_CA
5,2025,15,150034,ES001,ES,95,150034_202505_ES
5,2025,15,150034,PT001,PT,8,150034_202505_PT
5,2025,15,150035,PT001,PT,220,150035_202505_PT
5,2025,15,150036,CO001,CO,682,150036_202505_CO
5,2025,15,150037,CAR01,CA,0,150037_202505_CA
5,2025,15,150037,CR001,CR,0,150037_202505_CR
5,2025,15,150037,GT001,GT,0,150037_202505_GT
5,2025,15,150037,PA001,PA,0,150037_202505_PA
5,2025,15,150038,TH001,TH,510,150038_202505_TH
5,2025,15,150039,GB001,GB,336,150039_202505_GB
5,2025,15,150041,KR001,KR,710,150041_202505_KR
5,2025,15,150042,FI001,FI,20,150042_202505_FI
5,2025,15,150042,SE001,SE,64,150042_202505_SE
5,2025,15,150043,BR001,BR,400,150043_202505_BR
5,2025,15,150045,DK001,DK,20,150045_202505_DK
5,2025,15,150045,IS001,IS,6,150045_202505_IS
5,2025,15,150045,NO001,NO,38,150045_202505_NO
5,2025,15,150047,GB001,GB,0,150047_202505_GB
5,2025,15,150047,PR001,PR,1795,150047_202505_PR
5,2025,15,150047,US001,US,375879,150047_202505_US
5,2025,15,150048,PR001,PR,173,150048_202505_PR
5,2025,15,150048,US001,US,24662,150048_202505_US
5,2025,15,150052,IT001,IT,371,150052_202505_IT
5,2025,15,150054,RO001,RO,30,150054_202505_RO
5,2025,15,150057,GR001,GR,12,150057_202505_GR
5,2025,15,150058,FR001,FR,1100,150058_202505_FR
5,2025,15,150059,CN001,CN,116981,150059_202505_CN
5,2025,15,150065,BE001,BE,47,150065_202505_BE
5,2025,15,150068,ZA001,ZA,111,150068_202505_ZA
5,2025,15,150069,IL001,IL,226,150069_202505_IL
5,2025,15,150070,MX001,MX,66,150070_202505_MX
5,2025,15,150074,IT001,IT,440,150074_202505_IT
5,2025,15,150077,IT001,IT,10,150077_202505_IT
5,2025,15,150079,CZ001,CZ,63,150079_202505_CZ
5,2025,15,150086,AU001,AU,4504,150086_202505_AU
5,2025,15,150086,NZ001,NZ,1,150086_202505_NZ
5,2025,15,150088,PL001,PL,384,150088_202505_PL
5,2025,15,150089,SG002,SG,25,150089_202505_SG
5,2025,15,150090,MY001,MY,48,150090_202505_MY
5,2025,15,150091,TH001,TH,3,150091_202505_TH
5,2025,15,150160,IT001,IT,7,150160_202505_IT
5,2025,15,150093,CN001,CN,9018,150093_202505_CN
5,2025,15,150095,CL001,CL,24,150095_202505_CL
5,2025,15,150096,CL001,CL,277,150096_202505_CL
5,2025,15,150100,IL001,IL,273,150100_202505_IL
5,2025,15,150101,IL001,IL,1684,150101_202505_IL
5,2025,15,150102,KR001,KR,5094,150102_202505_KR
5,2025,15,150105,KR001,KR,115,150105_202505_KR
5,2025,15,150107,GR001,GR,2,150107_202505_GR
5,2025,15,150107,RO001,RO,0,150107_202505_RO
5,2025,15,150108,GR001,GR,16,150108_202505_GR
5,2025,15,150109,IT001,IT,8224,150109_202505_IT
5,2025,15,150110,AE002,AE,18,150110_202505_AE
5,2025,15,150110,EG001,EG,34,150110_202505_EG
5,2025,15,150111,EG001,EG,302,150111_202505_EG
5,2025,15,150111,LBN01,LB,0,150111_202505_LB
5,2025,15,150112,BE001,BE,516,150112_202505_BE
5,2025,15,150112,NL001,NL,1246,150112_202505_NL
5,2025,15,150113,BE001,BE,64,150113_202505_BE
5,2025,15,150113,NL001,NL,121,150113_202505_NL
5,2025,15,150114,FR001,FR,820,150114_202505_FR
5,2025,15,150115,AR001,AR,1464,150115_202505_AR
5,2025,15,150117,AR001,AR,98,150117_202505_AR
5,2025,15,150161,TR001,TR,1610,150161_202505_TR
5,2025,15,150118,GB001,GB,0,150118_202505_GB
5,2025,15,150118,IE001,IE,6,150118_202505_IE
5,2025,15,150119,GB001,GB,13,150119_202505_GB
5,2025,15,150119,IE001,IE,45,150119_202505_IE
5,2025,15,150120,GB001,GB,7,150120_202505_GB
